,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-l/1000km,highway-L/100km,price,diesel,gas
147,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.26,0.28,0.56,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.58,6.18,6338.0,0,1
148,1,74,toyota,std,four,hatchback,fwd,front,95.7,0.26,0.28,0.56,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.58,6.18,6488.0,0,1
149,0,77,toyota,std,four,wagon,fwd,front,95.7,0.43,0.28,0.94,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.58,6.35,6918.0,0,1
150,0,81,toyota,std,four,wagon,4wd,front,95.7,0.43,0.28,0.94,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,8.7,7.34,7898.0,0,1
151,0,91,toyota,std,four,wagon,4wd,front,95.7,0.43,0.28,0.94,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,8.7,7.34,8778.0,0,1
152,0,91,toyota,std,four,sedan,fwd,front,95.7,0.38,0.35,0.43,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,7.83,6.35,6938.0,0,1
153,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.38,0.35,0.42,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,7.83,6.35,7198.0,0,1
154,0,91,toyota,std,four,sedan,fwd,front,95.7,0.38,0.35,0.43,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,6.91,6.53,7898.0,1,0
155,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.38,0.35,0.42,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,6.18,5.0,7788.0,1,0
156,0,91,toyota,std,four,sedan,fwd,front,95.7,0.38,0.35,0.43,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,6.18,5.0,7738.0,0,1
157,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.38,0.35,0.42,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.39,6.91,8358.0,0,1
158,0,91,toyota,std,four,sedan,fwd,front,95.7,0.38,0.35,0.42,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.39,6.91,9258.0,0,1
159,1,168,toyota,std,two,sedan,rwd,front,94.5,0.41,0.32,0.4,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.1,6.91,8058.0,0,1
160,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.41,0.32,0.4,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.1,6.91,8238.0,0,1
161,1,168,toyota,std,two,sedan,rwd,front,94.5,0.41,0.32,0.4,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,9.04,8.1,9298.0,0,1
162,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.41,0.32,0.4,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,9.04,8.1,9538.0,0,1
163,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.52,0.45,0.35,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,8449.0,0,1
164,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.52,0.45,0.35,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,9639.0,0,1
165,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.52,0.45,0.35,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,9989.0,0,1
166,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.52,0.45,0.35,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,11199.0,0,1
167,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.52,0.45,0.35,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,11549.0,0,1
168,2,134,toyota,std,two,convertible,rwd,front,98.4,0.52,0.45,0.43,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,17669.0,0,1
169,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.51,0.53,0.59,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.1,6.91,8948.0,0,1
170,-1,65,toyota,turbo,four,sedan,fwd,front,102.4,0.51,0.53,0.59,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500.0,7.83,7.12,10698.0,1,0
171,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.51,0.53,0.51,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.7,7.34,9988.0,0,1
172,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.51,0.53,0.59,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.7,7.34,10898.0,0,1
173,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.51,0.53,0.51,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.7,7.34,11248.0,0,1
174,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.63,0.63,0.35,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,11.75,9.79,16558.0,0,1
175,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.63,0.63,0.35,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,12.37,9.79,15998.0,0,1
176,-1,90,toyota,std,four,sedan,rwd,front,104.5,0.7,0.53,0.53,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200.0,11.75,9.79,15690.0,0,1
177,-1,122,toyota,std,four,wagon,rwd,front,104.5,0.7,0.53,0.53,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200.0,12.37,9.79,15750.0,0,1
178,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.46,0.44,0.66,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,6.35,5.11,7775.0,1,0
179,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.46,0.44,0.66,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.7,6.91,7975.0,0,1
180,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.46,0.44,0.66,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,6.35,5.11,7995.0,1,0
181,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.46,0.44,0.66,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.7,6.91,8195.0,0,1
182,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.46,0.44,0.66,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.7,6.91,8495.0,0,1
183,2,94,volkswagen,turbo,four,sedan,fwd,front,97.3,0.46,0.44,0.66,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,6.35,5.6,9495.0,1,0
184,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.46,0.44,0.66,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500.0,9.04,7.34,9995.0,0,1
185,3,122,volkswagen,std,two,convertible,fwd,front,94.5,0.27,0.33,0.65,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,9.79,8.1,11595.0,0,1
186,3,256,volkswagen,std,two,hatchback,fwd,front,94.5,0.37,0.32,0.3,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,9.79,8.1,9980.0,0,1
187,0,122,volkswagen,std,four,sedan,fwd,front,100.4,0.58,0.56,0.61,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.79,13295.0,0,1
188,0,122,volkswagen,turbo,four,sedan,fwd,front,100.4,0.58,0.56,0.61,2579,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,7.12,6.18,13845.0,1,0
189,0,122,volkswagen,std,four,wagon,fwd,front,100.4,0.63,0.56,0.61,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500.0,9.4,7.58,12290.0,0,1
190,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.71,0.59,0.7,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.22,8.39,12940.0,0,1
191,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.71,0.59,0.81,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.22,8.39,13415.0,0,1
192,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.71,0.59,0.7,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,9.79,8.39,15985.0,0,1
193,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.71,0.59,0.81,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,9.79,8.39,16515.0,0,1
194,-2,103,volvo,turbo,four,sedan,rwd,front,104.3,0.71,0.59,0.7,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,13.82,10.68,18420.0,0,1
195,-1,74,volvo,turbo,four,wagon,rwd,front,104.3,0.71,0.59,0.81,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,13.82,10.68,18950.0,0,1
196,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.71,0.74,0.64,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.22,8.39,16845.0,0,1
197,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.71,0.73,0.64,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300.0,12.37,9.4,19045.0,0,1
198,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.71,0.74,0.64,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500.0,13.06,10.22,21485.0,0,1
199,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.71,0.74,0.64,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800.0,9.04,8.7,22470.0,1,0
200,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.71,0.74,0.64,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,12.37,9.4,22625.0,0,1
